1\tOAKN069wwcs\tISDA Brussels: Panayiotis Dionysopoulos on EU Banking Reforms
2\tY7wUyxe5oGQ\tISDA Brussels: Eric Litvack on EU Banking Reforms
3\tWScntBD2GtQ\tISDA: Quick Introduction to ISDA’s SA Benchmarking Initiative
